1	Discite quae faciem commendet cura, puellae,
2	Et quo sit vobis forma tuenda modo.
3	Cultus humum sterilem Cerealia pendere iussit
4	Munera, mordaces interiere rubi.
5	Cultus et in pomis sucos emendat acerbos,
6	Fissaque adoptivas accipit arbor opes.
7	Culta placent. auro sublimia tecta linuntur,
8	Nigra sub imposito marmore terra latet:
9	Vellera saepe eadem Tyrio medicantur aëno:
10	Sectile deliciis India praebet ebur.
11	Forsitan antiquae Tatio sub rege Sabinae
12	Maluerint, quam se, rura paterna coli:
13	Cum matrona, premens altum rubicunda sedile,
14	Assiduum duro pollice nebat opus,
15	Ipsaque claudebat quos filia paverat agnos,
16	Ipsa dabat virgas caesaque ligna foco.
17	At vestrae matres teneras peperere puellas.
18	Vultis inaurata corpora veste tegi,
19	Vultis odoratos positu variare capillos,
20	Conspicuam gemmis vultis habere manum:
21	Induitis collo lapides oriente petitos,
22	Et quantos onus est aure tulisse duos.
23	Nec tamen indignum: sit vobis cura placendi,
24	Cum comptos habeant saecula nostra viros. 
25	Feminea vestri poliuntur lege mariti,
26	Et vix ad cultus nupta, quod addat, habet.
27	Se sibi quaeque parant, nec quos venentur amores
28	Refert; munditia crimina nulla merent.
29	Rure latent finguntque comas; licet arduus illas
30	Celet Athos, cultas altus habebit Athos.
31	Est etiam placuisse sibi cuicumque voluptas;
32	Virginibus cordi grataque forma sua est.
33	Laudatas homini volucris Iunonia pennas
34	Explicat, et forma multa superbit avis.
35	Sic potius vos urget amor quam fortibus herbis,
36	Quas maga terribili subsecat arte manus.
37	Nec vos graminibus nec mixto credite suco,
38	Nec temptate nocens virus amantis equae;
39	Nec mediae Marsis finduntur cantibus angues,
40	Nec redit in fontes unda supina suos;
41	Et quamvis aliquis Temesaea removerit aera,
42	Numquam Luna suis excutietur equis.
43	Prima sit in vobis morum tutela, puellae.
44	Ingenio facies conciliante placet.
45	Certus amor morum est: formam populabitur aetas,
46	Et placitus rugis vultus aratus erit.
47	Tempus erit, quo vos speculum vidisse pigebit,
48	Et veniet rugis altera causa dolor.
49	Sufficit et longum probitas perdurat in aevum,
50	Perque suos annos hinc bene pendet amor. 
51	Dic age, cum teneros somnus dimiserit artus,
52	Candida quo possint ora nitere modo.
53	Hordea, quae Libyci ratibus misere coloni,
54	Exue de palea tegminibusque suis.
55	Par ervi mensura decem madefiat ab ovis:
56	Sed cumulent libras hordea nuda duas.
57	Haec ubi ventosas fuerint siccata per auras,
58	Lenta iube scabra frangat asella mola:
59	Et quae prima cadent vivaci cornua cervo,
60	Contere in haec (solidi sexta fac assis eat).
61	Iamque ubi pulvereae fuerint confusa farinae,
62	Protinus in cumeris omnia cerne cavis.
63	Adice narcissi bis sex sine cortice bulbos,
64	Strenua quos puro marmore dextra terat.
65	Sextantemque trahat gummi cum semine Tusco:
66	Huc novies tanto plus tibi mellis eat.
67	Quaecumque afficiet tali medicamine vultum
68	Fulgebit speculo levior ipsa suo.
69	Nec tu pallentes dubita torrere lupinos,
70	Et simul inflantes corpora frige fabas;
71	Utraque sex habeant aequo discrimine libras,
72	Utraque da nigris comminuenda molis.
73	Nec cerussa tibi nec nitri spuma rubentis
74	Desit et Illyrica quae venit iris humo.
75	Da validis iuvenum pariter subigenda lacertis:
76	Sed iustum tritis uncia pondus erit.
77	Addita de querulo volucrum medicamina nido
78	Ore fugant maculas: alcyonea vocant. 
79	Pondere, si quaeris, quo sim contentus in illis,
80	Quod trahit in partes uncia secta duas.
81	Ut coeant apteque lini per corpora possint,
82	Adice de flavis Attica mella favis.
83	Quamvis tura deos irataque numina placent,
84	Non tamen accensis omnia danda focis.
85	Tus ubi miscueris radenti tubera nitro,
86	Ponderibus iustis fac sit utrimque triens.
87	Parte minus quarta dereptum cortice gummi,
88	Et modicum e myrrhis pinguibus adde cubum.
89	Haec ubi contrieris, per densa foramina cerne:
90	Pulvis ab infuso melle premendus erit.
91	Profuit et marathros bene olentibus addere myrrhis,
92	(Quinque trahant marathri scrupula, myrrha novem)
93	Arentisque rosae quantum manus una prehendat,
94	Cumque Ammoniaco mascula tura sale.
95	Hordea quem faciunt, illis affunde cremorem:
96	Aequent expensas cum sale tura rosas.
97	Tempore sint parvo molli licet illita vultu,
98	Haerebit toto multus in ore color.
99	Vidi quae gelida madefacta papavera lympha
100	Contereret, teneris illineretque genis.
